Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
"",,EAST BAY HIGH SCHOOL,High,,,,,,2,2
"",,JEFFERSON HIGH SCHOOL,High,,1,,,,,1
"",Hope Sch Total,,,,1,,,,4,5
"",Magnet,SUMNER HIGH SCHOOL,High,,6,1,,1,1,9
"",,SPOTO HIGH SCHOOL,High,,3,2,,,2,7
"",,LENNARD HIGH SCHOOL,High,,18,15,1,4,19,57
"",,STRAWBERRY CREST HIGH SCHOOL,High,2,1,,,,,3
"",,ARMWOOD HIGH SCHOOL,High,1,5,1,,1,3,11
"",,BLAKE HIGH SCHOOL,High,,21,5,,5,4,35
"",,HILLSBOROUGH HIGH SCHOOL,High,,2,1,,,,3
"",,KING HIGH SCHOOL,High,,1,,,,,1
"",,MIDDLETON HIGH SCHOOL,High,2,,2,,1,6,11
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Sumner,Magnet,JEFFERSON HIGH SCHOOL,High,1,1,3,,,1,6
"",,TAMPA BAY TECH HIGH SCHOOL,High,,54,18,1,6,10,89
"",Magnet Total,,,6,114,48,2,19,46,235
"",Neighborhood,SUMNER HIGH SCHOOL,High,58,"1,114","1,453",6,225,629,"3,485"
"",,LENNARD HIGH SCHOOL,High,,,1,,1,2,4
"",,BLAKE HIGH SCHOOL,High,,1,,,,,1
"",,BRANDON HIGH SCHOOL,High,,1,3,,,,4
"",,EAST BAY HIGH SCHOOL,High,,4,3,,,1,8
"",,MIDDLETON HIGH SCHOOL,High,1,1,,,,,2
"",,NEWSOME HIGH SCHOOL,High,,,,,,1,1
"",,RIVERVIEW HIGH SCHOOL,High,,2,2,,2,1,7
"",Neighborhood Total,,,59,"1,123","1,462",6,228,634,"3,512"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,,3,,,,,3
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,1,2,,,,3
"",,WEST UNIVERSITY CHARTER HIGH,High,,,1,,,,1
"",,FOCUS ACADEMY,High,,,1,,,,1
"",,DR KIRAN C PATEL HIGH SCHOOL,High,,1,,,,,1
"",,BRIDGEPREP ACADEMY OF ADVANCED,High,,,1,,,,1
"",,WINTHROP COLLEGE PREP ACADEMY,High,5,61,73,1,13,26,179
"",,RIVERVIEW ACADEMY HIGH SCHOOL,High,,2,7,,2,5,16
"",Charter Total,,,5,68,85,1,15,31,205
"Sumner Total741,3351,63292707604,080",,,,,,,,,,
Wharton,Choice,STEINBRENNER HIGH SCHOOL,High,,,,,,2,2
"",,STRAWBERRY CREST HIGH SCHOOL,High,1,,,,,1,2
"",,BLAKE HIGH SCHOOL,High,,1,1,,,,2
"",,CHAMBERLAIN HIGH SCHOOL,High,,9,31,,4,3,47
"",,DURANT HIGH SCHOOL,High,,,,,,2,2
"",,FREEDOM HIGH SCHOOL,High,2,9,12,,3,23,49
"",,GAITHER HIGH SCHOOL,High,,2,8,,,,10
"",,HILLSBOROUGH HIGH SCHOOL,High,1,1,3,1,,,6
"",,KING HIGH SCHOOL,High,,2,2,,,1,5
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Wharton,Choice,MIDDLETON HIGH SCHOOL,High,1,1,2,,,1,5
"",,PLANT HIGH SCHOOL,High,,1,,,,,1
"",,ROBINSON HIGH SCHOOL,High,,1,,,,1,2
"",,JEFFERSON HIGH SCHOOL,High,,7,3,1,,,11
"",,WHARTON HIGH SCHOOL,High,,4,7,,1,2,14
"",Choice Total,,,5,38,71,2,8,36,160
"",District Assigned,CHAMBERLAIN HIGH SCHOOL,High,,,,,1,,1
"",,MIDDLETON HIGH SCHOOL,High,,1,,,,,1
"",District Assigned Total,,,,1,,,1,,2
"",Hope Sch,CHAMBERLAIN HIGH SCHOOL,High,,,1,,,,1
"",,FREEDOM HIGH SCHOOL,High,,,1,,,,1
"",Hope Sch Total,,,,,2,,,,2
"",Magnet,SPOTO HIGH SCHOOL,High,,,1,,,,1
"",,STRAWBERRY CREST HIGH SCHOOL,High,143,1,3,3,4,7,161
"",,ARMWOOD HIGH SCHOOL,High,,5,2,,,1,8
"",,ALONSO HIGH SCHOOL,High,1,,3,,,1,5
"",,BLAKE HIGH SCHOOL,High,1,19,10,,1,4,35
"",,HILLSBOROUGH HIGH SCHOOL,High,5,7,5,,1,10,28
"",,KING HIGH SCHOOL,High,61,9,7,1,12,16,106
"",,LETO HIGH SCHOOL,High,,,,,,1,1
"",,MIDDLETON HIGH SCHOOL,High,127,14,12,5,6,18,182
"",,ROBINSON HIGH SCHOOL,High,,,1,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,13,8,2,5,3,31
"",,TAMPA BAY TECH HIGH SCHOOL,High,6,98,58,,16,25,203
"",,WHARTON HIGH SCHOOL,High,3,1,4,,,3,11
"",Magnet Total,,,347,167,114,11,45,89,773
"",Neighborhood,SPOTO HIGH SCHOOL,High,,3,,,,,3
"",,STEINBRENNER HIGH SCHOOL,High,,,,,,1,1
"",,ARMWOOD HIGH SCHOOL,High,,,,,,3,3
"",,BLAKE HIGH SCHOOL,High,,2,,,,,2
"",,CHAMBERLAIN HIGH SCHOOL,High,,1,3,,1,,5
Zoned School,Current Placement,Current School,"SchoolLevel",Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Wharton,Neighborhood,FREEDOM HIGH SCHOOL,High,,2,4,,,6,12
"",,GAITHER HIGH SCHOOL,High,1,3,1,,,1,6
"",,HILLSBOROUGH HIGH SCHOOL,High,,2,1,,1,,4
"",,LETO HIGH SCHOOL,High,,,1,,,,1
"",,MIDDLETON HIGH SCHOOL,High,1,2,,,,,3
"",,RIVERVIEW HIGH SCHOOL,High,,1,,,,,1
"",,JEFFERSON HIGH SCHOOL,High,,,,,,1,1
"",,WHARTON HIGH SCHOOL,High,128,639,630,1,139,547,"2,084"
"",Neighborhood Total,,,130,655,640,1,141,560,"2,127"
"",Charter,BROOKS DEBARTOLO COLLEGIATE,High,22,16,21,,7,24,90
"",,SEMINOLE HEIGHTS CHARTER SCH,High,,6,4,,2,1,13
"",,WEST UNIVERSITY CHARTER HIGH,High,2,31,47,,7,7,94
"",,FOCUS ACADEMY,High,1,7,1,,1,2,12
"",,DR KIRAN C PATEL HIGH SCHOOL,High,25,29,39,1,25,58,177
"",,WINTHROP COLLEGE PREP ACADEMY,High,,,,,1,,1
"",Charter Total,,,50,89,112,1,43,92,387
