Zoned School,Current Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,EGYPT LAKE ELEMENTARY,Elem,,2,,,,,2
"",,FISHHAWK CREEK ELEMENTARY,Elem,,1,,,,,1
"",,FOREST HILLS ELEMENTARY,Elem,,1,2,,,,3
"",,FOSTER ELEMENTARY,Elem,,2,1,,,,3
"",,JAMES ELEMENTARY,Elem,,,2,,,,2
"",,KENLY ELEMENTARY,Elem,,1,,,,,1
"",,KIMBELL ELEMENTARY,Elem,,2,,,,,2
"",,MENDENHALL ELEMENTARY,Elem,,,1,,,,1
"",,MILES ELEMENTARY,Elem,,1,,,,,1
"",,NEW SPRINGS SCHOOL,K-8,,2,,,,,2
"",,OAK GROVE ELEMENTARY,Elem,,2,,,,,2
"",,PIZZO K-8 SCHOOL,K-8,,1,,,,,1
"",,POTTER ELEMENTARY,Elem,,6,,,,,6
"",,ROBLES ELEMENTARY,Elem,,1,,,,,1
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,1,2,,,,3
"",,SHAW ELEMENTARY,Elem,,1,,,,,1
"",,SHEEHY ELEMENTARY,Elem,,1,,,,,1
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,1,,,,,1
"",,SULPHUR SPRINGS K-8,K-8,2,267,110,,15,22,416
"",,TWIN LAKES ELEMENTARY,Elem,,,1,,,,1
"",,WASHINGTON ELEMENTARY,Elem,,1,,,,,1
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
"",,WITTER ELEMENTARY,Elem,,2,,,,,,2
Sulphur Springs,Neighborhood,WOODSON K-8,K-8,,10,,6,,1,1,18
"",Neighborhood,,,,,,,,,,
"",Total,,,2,311,,128,,16,23,480
Sulphur Springs Total,,,,2,440,,191,,25,38,696
Summerfield,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,,1,,,1,2
"",,CREEKSIDE CHARTER ACADEMY,K-8,,5,,3,,,5,13
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,3,9,,7,,4,4,27
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,,,,,1,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,1,,2,,,1,4
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,,4,,,,4
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,1,4,,6,,1,7,19
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,,,2,,,,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,4,31,,50,,12,36,133
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,11,2,,11,,2,10,36
"",,WALTON ACADEMY,Elem,,1,,,,,,1
"",,WATERSET CHARTER SCHOOL,K-8,,1,,1,,,3,5
"",,WINTHROP CHARTER SCHOOL,K-8,1,1,,1,,1,3,7
"",Charter Total,,,20,55,,88,,20,71,254
"",Choice,APOLLO BEACH ELEMENTARY,Elem,,,,2,,,2,4
"",,BEVIS ELEMENTARY,Elem,6,,,1,,1,4,12
"",,BOYETTE SPRINGS ELEMENTARY,Elem,7,1,,,1,,5,14
"",,CIMINO ELEMENTARY,Elem,,,,,,,1,1
"",,COLLINS PK-8 SCHOOL,K-8,,3,,4,,1,3,11
"",,CYPRESS CREEK ELEMENTARY,Elem,,,,1,,,,1
"",,DAWSON ELEMENTARY,Elem,,,,3,,1,2,6
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,,,,,2,2
"",,LITHIA SPRINGS ELEMENTARY,Elem,,1,,,,,,1
"",,LUTZ K-8 SCHOOL,K-8,,,,1,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,,,1,,,2,3
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,,,1,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,,,1,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,STOWERS ELEMENTARY,Elem,4,1,,,,2,7
Summerfield,Choice,SUMMERFIELD CROSSINGS ELEM,Elem,,,1,,,2,3
"",,SUMMERFIELD ELEMENTARY,Elem,,,2,,,,2
"",,THOMPSON ELEMENTARY,Elem,,1,,,,,1
"",,YATES ELEMENTARY,Elem,,,,,,1,1
"",Choice Total,,,17,7,17,1,3,27,72
"",ESE Placed,SUMMERFIELD ELEMENTARY,Elem,,,,,,1,1
"",,THOMPSON ELEMENTARY,Elem,,,1,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,1,,1
"","ESE Placed
Total",,,,,1,,1,1,3
"",Magnet,LOMAX ELEMENTARY MAGNET,Elem,1,1,1,,,,3
"",,MACFARLANE PARK ELEM MAGNET,Elem,,1,,,,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,1,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,1,3,7,,,9,20
"",Magnet Total,,,2,7,8,,1,9,27
"",Neighborhood,BELMONT ELEMENTARY SCHOOL,Elem,,,,,,2,2
"",,BEVIS ELEMENTARY,Elem,1,,,,,,1
"",,BOYETTE SPRINGS ELEMENTARY,Elem,1,,,,,,1
"",,COLLINS PK-8 SCHOOL,K-8,,1,2,,,,3
"",,CORR ELEMENTARY,Elem,,,1,,,,1
"",,DAWSON ELEMENTARY,Elem,,2,,,1,,3
"",,FISHHAWK CREEK ELEMENTARY,Elem,,,1,,,,1
"",,GIBSONTON ELEMENTARY,Elem,,,,,2,2,4
"",,RIVERVIEW ELEMENTARY,Elem,,2,,,,,2
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,1,,,,,1
"",,SUMMERFIELD CROSSINGS ELEM,Elem,,,1,,,1,2
"",,SUMMERFIELD ELEMENTARY,Elem,25,137,287,,63,184,696
"",,THOMPSON ELEMENTARY,Elem,,,1,,,,1
Zoned School,Placement,Current School,School,Asian,Black,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,Total
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,,2,2
"",Neighborhood,,,,,,,,,
Summerfield,Total,,,27,143,294,,66,191,721
Summerfield Total,,,,66,212,408,1,91,299,"1,077"
Summerfield Crossings,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,1,,,,,1
"",,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,10,6,,1,3,20
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,1,,,,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,1,24,24,,4,24,77
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,,1,,,,1
"",,INDEPENDENCE ACADEMY,K-8,,,,,,1,1
"",,KIDS COMMU COLLEGE SOUTHEAST,K-8,1,22,3,1,,4,31
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,,4,,,3,7
"",,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,,3,1,,1,8,13
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,1,,,1,2
"",,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,,,10,,,,10
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,1,11,15,,1,6,34
"",,SLAM ACADEMY AT APOLLO BEACH,K-8,,7,2,,2,3,14
"",,SOUTHSHORE CHARTER ACADEMY,K-8,4,46,47,,9,32,138
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,8,10,17,,,12,47
"",,VILLAGE OF EXCELLENCE,Elem,,2,,,,,2
"",,WATERSET CHARTER SCHOOL,K-8,,8,12,,3,12,35
"",,WINTHROP CHARTER SCHOOL,K-8,3,7,5,,1,5,21
"",,WOODMONT CHARTER SCHOOL,K-8,,1,,,,,1
"",Charter Total,,,18,152,149,1,22,114,456
"",Choice,ALAFIA ELEMENTARY,Elem,,,2,,1,2,5
"",,APOLLO BEACH ELEMENTARY,Elem,,,2,,,1,3
"",,BAY CREST ELEMENTARY,Elem,,,2,,,,2
"",,BELMONT ELEMENTARY SCHOOL,Elem,,,,,1,1,2
"",,BEVIS ELEMENTARY,Elem,,1,1,,1,,3
"",,BOYETTE SPRINGS ELEMENTARY,Elem,1,4,3,,1,5,14
"",,BROOKER ELEMENTARY,Elem,,1,,,,3,4
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,CIMINO ELEMENTARY,Elem,,,,,1,1,2
Summerfield Crossings,Choice,COLLINS PK-8 SCHOOL,K-8,,3,4,,2,14,23
"",,CORR ELEMENTARY,Elem,,3,2,,,,5
"",,DAWSON ELEMENTARY,Elem,,,,,,2,2
"",,DOBY ELEMENTARY,Elem,,1,1,,,,2
"",,FROST ELEMENTARY,Elem,,,2,,,,2
"",,GIBSONTON ELEMENTARY,Elem,,,,,1,,1
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,1,,,3,4
"",,PINECREST ELEMENTARY,Elem,,,1,,,1,2
"",,REDDICK ELEMENTARY,Elem,,1,1,,,,2
"",,RIVERVIEW ELEMENTARY,Elem,,,,,1,1,2
"",,SESSUMS ELEMENTARY,Elem,,,,,,3,3
"",,STOWERS ELEMENTARY,Elem,,,,,1,1,2
"",,SUMMERFIELD CROSSINGS ELEM,Elem,1,4,3,,1,,9
"",,SUMMERFIELD ELEMENTARY,Elem,,5,12,,4,4,25
"",,SYMMES ELEMENTARY,Elem,,,,,2,1,3
"",,THOMPSON ELEMENTARY,Elem,,,1,,,2,3
"",,WASHINGTON ELEMENTARY,Elem,,2,,,,,2
"",Choice Total,,,2,25,38,,17,45,127
"",Magnet,DUNBAR ELEMENTARY,Elem,,3,,,1,,4
"",,ESSRIG ELEMENTARY,Elem,,1,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,3,,,,3
"",,MULLER ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,RAMPELLO K-8,K-8,,2,2,,,,4
"",,SHORE ELEMENTARY,Elem,,2,,,,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,3,12,8,,7,10,40
"",Magnet Total,,,3,23,13,,8,10,57
"",Neighborhood,BELMONT ELEMENTARY SCHOOL,Elem,,1,1,,1,2,5
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,CIMINO ELEMENTARY,Elem,,,,,,2,2
Summerfield Crossings,Neighborhood,COLLINS PK-8 SCHOOL,K-8,,,,,,2,2
"",,CORR ELEMENTARY,Elem,,1,,,,,1
"",,DAWSON ELEMENTARY,Elem,,1,1,,,,2
"",,GIBSONTON ELEMENTARY,Elem,,2,1,,2,,5
"",,KINGSWOOD ELEMENTARY,Elem,,1,,,,,1
"",,REDDICK ELEMENTARY,Elem,,3,,,,,3
"",,RIVERVIEW ELEMENTARY,Elem,,1,1,,,1,3
"",,SESSUMS ELEMENTARY,Elem,,1,,,,,1
"",,SHORE ELEMENTARY,Elem,,,1,,,,1
"",,SUMMERFIELD CROSSINGS ELEM,Elem,23,292,299,5,90,177,886
"",,SUMMERFIELD ELEMENTARY,Elem,1,,1,,,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,2,,,,2
"","Neighborhood
Total",,,24,303,308,5,93,184,917
"Summerfield Crossings
Total
4750350861403531,557",,,,,,,,,,
Symmes,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,8,13,,1,,22
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,1,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,,,,1,,1
"",,INDEPENDENCE ACADEMY,K-8,,,1,,,,1
"",,LITERACY LEADERSHIP TECH ACAD,K-8,,1,2,,1,4,8
"",,LUTZ PREPARATORY SCHOOL,K-8,,,,,2,,2
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,2,4,6,,4,16,32
"",,RIVERVIEW ACADEMY OF MATH SCI,K-8,,,3,,,5,8
"",,SOUTHSHORE CHARTER ACADEMY,K-8,,,1,,,,1
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,3,1,6,,,6,16
"",,WINTHROP CHARTER SCHOOL,K-8,10,19,38,,17,50,134
"",Charter Total,,,15,33,71,,26,81,226
"",Choice,ALAFIA ELEMENTARY,Elem,,3,2,,,2,7
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,BOYETTE SPRINGS ELEMENTARY,Elem,,1,2,,,4,7
Symmes,Choice,BROOKER ELEMENTARY,Elem,,,,,,3,3
"",,BUCKHORN ELEMENTARY,Elem,,,,,,2,2
"",,CIMINO ELEMENTARY,Elem,1,,4,,2,15,22
"",,COLLINS PK-8 SCHOOL,K-8,,,,,,2,2
"",,DAWSON ELEMENTARY,Elem,,,,,,2,2
"",,ESSRIG ELEMENTARY,Elem,,,,,1,1,2
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,GRAHAM ELEMENTARY,Elem,,1,,,,,1
"",,LIMONA ELEMENTARY,Elem,,1,1,,,1,3
"",,LITHIA SPRINGS ELEMENTARY,Elem,,,,,1,1,2
"",,MINTZ ELEMENTARY,Elem,,1,,,6,1,8
"",,NELSON ELEMENTARY,Elem,,,,,,1,1
"",,PALM RIVER ELEMENTARY,Elem,,1,,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,4,2,,,2,8
"",,SCHMIDT ELEMENTARY,Elem,,1,,,,,1
"",,SESSUMS ELEMENTARY,Elem,,,,,,1,1
"",Choice Total,,,2,14,11,,10,38,75
"",Magnet,DUNBAR ELEMENTARY,Elem,,1,,,1,,2
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,1,,2
"",,RAMPELLO K-8,K-8,,1,,,,,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,ROLAND PARK K-8 MAGNET,K-8,,,,,,2,2
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,1,,2
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,,1,1
"",Magnet Total,,,,4,1,,3,3,11
"",Neighborhood,ALAFIA ELEMENTARY,Elem,,,,,1,,1
"",,COLSON ELEMENTARY,Elem,,,1,,,,1
"",,FOREST HILLS ELEMENTARY,Elem,,1,,,,,1
"",,FROST ELEMENTARY,Elem,,1,,,,,1
"",,LOPEZ ELEMENTARY,Elem,,,,,,2,2
Zoned School,Placement,Current School,School,Asian,Black,,Hispanic,Indian,Multi,White,Grand
"",,,Level,,,,,,,,Total
"",,RIVERVIEW ELEMENTARY,Elem,,1,,2,,,2,5
Symmes,Neighborhood,SHEEHY ELEMENTARY,Elem,,1,,,,,,1
"",,SYMMES ELEMENTARY,Elem,8,76,,110,,39,108,341
"",,TINKER K-8 SCHOOL,K-8,,,,,,1,,1
"",,WINTHROP CHARTER SCHOOL,K-8,,,,,,,1,1
"",,YORK PK-8 MAGNET SCHOOL,K-8,,,,,,,1,1
"",Neighborhood,,,,,,,,,,
"",Total,,,8,80,,113,,42,114,357
Symmes Total,,,,25,131,,196,,81,236,669
Tampa Bay Boulevard,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,,,,2,,,,2
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,6,,16,,2,4,28
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,6,,2,,,,8
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,,1,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,,,2,,,,2
"",,EXCELSIOR PREP CHARTER SCHOOL,Elem,,,,2,,,,2
"",,HENDERSON HAMMOCK CHARTER SCH,K-8,,,,5,,,1,6
"",,HILLSBOROUGH ACAD MATH SCIENCE,K-8,,,,1,,,,1
"",,HORIZON CHARTER SCH OF TAMPA,K-8,,1,,1,,,,2
"",,LEARNING GATE COMMUNITY,K-8,,,,,,,1,1
"",,LEGACY PREPARATORY ACADEMY,K-8,,2,,,,,,2
"",,PLATO ACADEMY TAMPA CHARTER SCH,K-8,,,,1,,,,1
"",,SLAM ACADEMY TAMPA ELEMENTARY,Elem,,,,2,,,,2
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,12,,1,6,19
"",,VALRICO LAKE ADVANTAGE ACAD,Elem,1,,,,,,,1
"",,WALTON ACADEMY,Elem,,1,,,,,,1
"",Charter Total,,,1,16,,47,,3,12,79
"",Choice,ALEXANDER ELEMENTARY,Elem,,,,4,,,,4
"",,ANDERSON ELEMENTARY,Elem,,,,,,,1,1
"",,BELLAMY ELEMENTARY,Elem,,1,,,,,,1
"",,BING ELEMENTARY,Elem,,1,,,,,,1
"",,CHIARAMONTE ELEMENTARY,Elem,,1,,,,,1,2
"",,CRESTWOOD ELEMENTARY,Elem,,,,1,,,,1
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
"",,DESOTO ELEMENTARY,Elem,,1,,,,,1
Tampa Bay Boulevard,Choice,DICKENSON ELEMENTARY,Elem,,,1,,,,1
"",,EDISON ELEMENTARY,Elem,,1,,,,,1
"",,EGYPT LAKE ELEMENTARY,Elem,,,1,,1,1,3
"",,GORRIE ELEMENTARY,Elem,,,,,,3,3
"",,GRADY ELEMENTARY,Elem,,1,1,,,,2
"",,GRAHAM ELEMENTARY,Elem,,1,,,4,1,6
"",,HAMMOND ELEMENTARY,Elem,,1,,,,,1
"",,LEWIS ELEMENTARY,Elem,,1,,,,,1
"",,LOWRY ELEMENTARY,Elem,,,1,,,,1
"",,MABRY ELEMENTARY,Elem,,,1,,,,1
"",,MCKITRICK ELEMENTARY,Elem,,1,,,,,1
"",,MENDENHALL ELEMENTARY,Elem,,,3,,,,3
"",,MITCHELL ELEMENTARY,Elem,,1,,,,,1
"",,MORT ELEMENTARY,Elem,,,1,,,,1
"",,OAK GROVE ELEMENTARY,Elem,,,6,,,1,7
"",,PALM RIVER ELEMENTARY,Elem,,1,,,,,1
"",,RIVERVIEW ELEMENTARY,Elem,,1,,,,,1
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,1,,,,,1
"",,SULPHUR SPRINGS K-8,K-8,,2,,,,,2
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,,4,5,,2,1,12
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,1,,,,1
"",,TWIN LAKES ELEMENTARY,Elem,,1,,,,,1
"",,WASHINGTON ELEMENTARY,Elem,,5,,,,,5
"",,WEST TAMPA ELEMENTARY,Elem,,22,11,,,,33
"",,WESTCHASE ELEMENTARY,Elem,,,1,,,,1
"",Choice Total,,,,48,38,,7,9,102
"","District
Assigned",MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,2,3
"","District
Assigned Total",,,,,1,,,2,3
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Tampa Bay Boulevard,"ESE Placed
Total",,,,,1,,,,1
"",Magnet,DUNBAR ELEMENTARY,Elem,,36,18,,9,5,68
"",,LOCKHART ELEMENTARY MAGNET,Elem,,16,2,,1,1,20
"",,LOMAX ELEMENTARY MAGNET,Elem,,7,,,1,,8
"",,MACFARLANE PARK ELEM MAGNET,Elem,,2,11,,2,2,17
"",,MULLER ELEMENTARY MAGNET,Elem,,2,,,,,2
"",,RAMPELLO K-8,K-8,,1,4,,,2,7
"",,ROLAND PARK K-8 MAGNET,K-8,1,19,15,1,,5,41
"",,SHORE ELEMENTARY,Elem,,3,3,,,,6
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,30,,,2,2,34
"",Magnet Total,,,1,116,53,1,15,17,203
"",Neighborhood,BING ELEMENTARY,Elem,,1,,,,,1
"",,BROWARD ELEMENTARY,Elem,,,3,,,,3
"",,CANNELLA ELEMENTARY,Elem,,,1,,,,1
"",,CHIARAMONTE ELEMENTARY,Elem,,1,,,,,1
"",,CITRUS PARK ELEMENTARY,Elem,,1,,,,,1
"",,CRESTWOOD ELEMENTARY,Elem,,,1,,,,1
"",,DUNBAR ELEMENTARY,Elem,,21,2,,3,,26
"",,EDISON ELEMENTARY,Elem,,1,,,,,1
"",,EGYPT LAKE ELEMENTARY,Elem,,,2,,,,2
"",,GRADY ELEMENTARY,Elem,,,1,,,,1
"",,GRAHAM ELEMENTARY,Elem,,4,,,,,4
"",,HAMMOND ELEMENTARY,Elem,,1,,,,,1
"",,LOCKHART ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOMAX ELEMENTARY MAGNET,Elem,,1,,,,,1
"",,LOWRY ELEMENTARY,Elem,,,,,,1,1
"",,MACFARLANE PARK ELEM MAGNET,Elem,,,1,,,1,2
"",,MITCHELL ELEMENTARY,Elem,,,1,,1,,2
"",,OAK GROVE ELEMENTARY,Elem,,1,,,,,1
"",,POTTER ELEMENTARY,Elem,,3,,,,,3
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Tampa Bay Boulevard,Neighborhood,ROOSEVELT ELEMENTARY,Elem,,1,,,,,1
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,1,,,,,1
"",,SHAW ELEMENTARY,Elem,,1,,,,,1
"",,SHEEHY ELEMENTARY,Elem,,2,,,,,2
"",,SULLIVAN PARTNERSHIP ELEM,Elem,,2,,,,,2
"",,TAMPA BAY BOULEVARD ELEMENTARY,Elem,5,158,342,,17,26,548
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,4,,,,,4
"",,TAMPA PALMS ELEMENTARY,Elem,,,1,,,,1
"",,TOWN AND COUNTRY ELEMENTARY,Elem,,,,,,1,1
"",,WASHINGTON ELEMENTARY,Elem,,7,1,,,,8
"",,WEST TAMPA ELEMENTARY,Elem,,26,13,,1,1,41
"",,WITTER ELEMENTARY,Elem,,1,,,,,1
"",,WOODSON K-8,K-8,,1,,,,,1
"","Neighborhood
Total",,,5,242,369,,22,30,668
"Tampa Bay Boulevard
Total
7422509147701,056",,,,,,,,,,
Tampa Palms,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,,,,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,2,,2,,1,6,11
"",,EXCELSIOR PREP CHARTER SCHOOL,Elem,,,1,,,,1
"",,LEARNING GATE COMMUNITY,K-8,,,,,,4,4
"",,LUTZ PREPARATORY SCHOOL,K-8,,,,,,3,3
"",,NEW SPRINGS SCHOOL,K-8,,,1,,,1,2
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,1,,,,1
"",,WOODMONT CHARTER SCHOOL,K-8,,2,,,,,2
"",Charter Total,,,2,3,5,,1,14,25
"",Choice,CHILES ELEMENTARY,Elem,8,6,3,,2,,19
"",,CLARK ELEMENTARY,Elem,,,,,,1,1
"",,EDISON ELEMENTARY,Elem,,1,,,,,1
"",,HERITAGE ELEMENTARY,Elem,,,,,1,2,3
"",,HUNTER'S GREEN ELEMENTARY,Elem,,4,3,,,,7
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Tampa Palms,Choice,PIZZO K-8 SCHOOL,K-8,,1,,,,,1
"",,TAMPA PALMS ELEMENTARY,Elem,3,3,,,,1,7
"",,VALRICO ELEMENTARY,Elem,,,,,,1,1
"",Choice Total,,,11,15,6,,3,6,41
"",ESE Placed,YATES ELEMENTARY,Elem,,,,,1,,1
"","ESE Placed
Total",,,,,,,1,,1
"",Magnet,MACFARLANE PARK ELEM MAGNET,Elem,2,,,,,,2
"",,MULLER ELEMENTARY MAGNET,Elem,1,,1,,1,,3
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,1,2,1,,,,4
"",,ROLAND PARK K-8 MAGNET,K-8,,1,,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",Magnet Total,,,4,4,2,,1,,11
"",Neighborhood,CARROLLWOOD K-8 SCHOOL,K-8,,,,,,2,2
"",,CLARK ELEMENTARY,Elem,,,,,,1,1
"",,FOSTER ELEMENTARY,Elem,,,,,1,,1
"",,PIZZO K-8 SCHOOL,K-8,,2,1,,,,3
"",,ROBLES ELEMENTARY,Elem,,,1,,,,1
"",,SHAW ELEMENTARY,Elem,,1,1,,,1,3
"",,SULPHUR SPRINGS K-8,K-8,,1,,,,,1
"",,TAMPA HEIGHTS ELEM MAGNET,Elem,,1,,,,,1
"",,TAMPA PALMS ELEMENTARY,Elem,179,141,117,2,44,139,622
"",,WITTER ELEMENTARY,Elem,,1,,,,,1
"","Neighborhood
Total",,,179,147,120,2,45,143,636
"Tampa Palms Total
196169133251163714",,,,,,,,,,
Temple Terrace,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,,,,,1,,1
"",,BRIDGEPREP ACADEMY OF TAMPA,K-8,,1,,,,,1
"",,CHANNELSIDE ACAD MATH AND SCI,K-8,,,,,,1,1
"",,CREEKSIDE CHARTER ACADEMY,K-8,,,,,1,,1
"",,DR KIRAN C PATEL ELEMENTARY,Elem,,5,4,,1,16,26
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Temple Terrace,Charter,HENDERSON HAMMOCK CHARTER SCH,K-8,,,1,,,,1
"",,LEARNING GATE COMMUNITY,K-8,,,2,,,6,8
"",,LEGACY PREPARATORY ACADEMY,K-8,,1,,,,,1
"",,LUTZ PREPARATORY SCHOOL,K-8,,,,,,1,1
"",,NAVIGATOR ACADEMY OF LEADERSHI,K-8,,,,,1,,1
"",,NEW SPRINGS SCHOOL,K-8,1,6,2,,,2,11
"",,SUNLAKE ACAD OF MATH & SCIENCE,K-8,,,,,,1,1
"",,THE COLLABORATORY PREP ACADEMY,Elem,,1,,,,,1
"",,TRINITY SCHOOL FOR CHILDREN,K-8,,,,,,3,3
"",,VILLAGE OF EXCELLENCE,Elem,,4,,,1,,5
"",,WALTON ACADEMY,Elem,,5,,,1,,6
"",,WINTHROP CHARTER SCHOOL,K-8,,2,,,,,2
"",,WOODMONT CHARTER SCHOOL,K-8,,57,16,,4,2,79
"",Charter Total,,,1,84,25,,10,32,152
"",Choice,ALEXANDER ELEMENTARY,Elem,,,,,,2,2
"",,CHILES ELEMENTARY,Elem,,,,,1,,1
"",,CLARK ELEMENTARY,Elem,,,,,1,,1
"",,EDISON ELEMENTARY,Elem,,2,,,,,2
"",,FOLSOM ELEMENTARY,Elem,,2,2,,,,4
"",,HERITAGE ELEMENTARY,Elem,,,,,1,,1
"",,HUNTER'S GREEN ELEMENTARY,Elem,,,1,,,1,2
"",,KENLY ELEMENTARY,Elem,,2,,,,,2
"",,LAKE MAGDALENE ELEMENTARY,Elem,,1,,,,,1
"",,LEWIS ELEMENTARY,Elem,,10,7,,2,4,23
"",,LOPEZ ELEMENTARY,Elem,,,,,,1,1
"",,PIZZO K-8 SCHOOL,K-8,,2,1,,,,3
"",,SEMINOLE HEIGHTS ELEMENTARY,Elem,,2,,,,1,3
"",,SHEEHY ELEMENTARY,Elem,,4,1,,,,5
"",,TAMPA PALMS ELEMENTARY,Elem,,,,,,3,3
"",,TEMPLE TERRACE ELEMENTARY,Elem,,3,,,,,3
"",,THONOTOSASSA ELEMENTARY,Elem,,1,,,,1,2
Zoned School,Placement,Current School,"School
Level",Asian,Black,Hispanic,Indian,Multi,White,"Grand
Total"
Temple Terrace,Choice,WITTER ELEMENTARY,Elem,,1,,,,,1
"",Choice Total,,,,30,12,,5,14,61
"",ESE Placed,PIZZO K-8 SCHOOL,K-8,,,,,,1,1
"",,RIVERHILLS ELEMENTARY MAGNET,Elem,,,1,,,,1
